[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/v1/admin/auth        --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).Authenticate-fm (3 handlers)
[GIN-debug] POST   /api/v1/users             --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).AddUser-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/list        --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).ListUsers-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/detail/:id  --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).GetUserByID-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/            --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).GetUserByParams-fm (4 handlers)
[GIN-debug] DELETE /api/v1/users/:id         --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).DeleteUserByID-fm (4 handlers)
[GIN-debug] PATCH  /api/v1/users             --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).UpdateUser-fm (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :8808
[GIN] 2020/04/24 - 20:53:36 | 200 |     803.707µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:55:08 | 200 |     810.564µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:56:03 | 200 |     746.901µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:57:03 | 200 |     694.619µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:57:21 | 200 |     700.182µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:57:38 | 200 |     697.697µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:18 | 200 |     807.096µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:18 | 200 |     707.292µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:18 | 200 |     732.518µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:18 | 200 |     679.938µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:18 | 200 |     712.023µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:18 | 200 |     711.262µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     998.219µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     635.999µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     724.065µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     641.428µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     584.925µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     674.406µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     653.557µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:59:19 | 200 |     709.668µs |  136.55.173.132 | POST     "/api/v1/users"
